sentence,true_label,scibert autogenerated 10 keywords using bm25
we have studied the elasticity and pressure–density equation of state of mgo in diamond cells to 55 gpa.,contradiction
similarly  the elastic constants  bulk modulus and other mechanical properties obtained from our calculations are in very good agreement with the values available in the literature.,contradiction
pressure transmitting medium daphne 7474 solidifying at 3.7 gpa at room temperature,contradiction
we calculated elastic constants c ij  gpa   bulk modulus b  gpa   shear modulus g  gpa   youngs modulus y  gpa  and b/g ratio of ptaltm.,contradiction
values of all the quantities calculated for parent inn and gan have been compared with the literature data and then evaluated as functions of composition x on a dense  0.05 step  grid.,contradiction
the ruby pressure standard to 150 gpa.,contradiction
high purity neptunium metal was studied under high pressure using a diamond anvil cell in an energy dispersive x-ray facility. ,contradiction
a gigapascal  gpa  is a decimal multiple of the pascal  which is the si-derived unit of pressure  stress  youngs modulus  bulk modulus  and ultimate tensile strength.,contradiction
the youngs moduli of these alloys are lower compared with that of ti–6al–4v eli which has been used as an implant material. ,contradiction
from that transition  the gradient represented the bulk modulus. ,contradiction
fitting to the equation developed earlier  bulk modulus  80 gpa  was yielded as the final calculation.,contradiction
generally the bulk modulus is defined at constant temperature as the isothermal bulk modulus  but can also be defined at constant entropy as the adiabatic bulk modulus.,contradiction
we have reported a bulk modulus of zn2v2o7 and explained why such facile structural transformations are enabled with both pressure and temperature.,contradiction
room-temperature volume measurements up to 8.1 gpa reveal that rock-salt structured mno and cdo have identical compressibility in the pressure range studied.,contradiction
onsager first explained the tendency of highly anisotropic rod-like and plate-like particles  for example  tobacco mosaic virus and clay particles in solution  to form orientationally ordered nematic phases  and his pioneering work has since been refined into a rich and technologically significant theory of liquid-crystalline material properties and phase transitions.,contradiction
calculated bulk modulus b  gpa   shear modulus g  gpa   youngs modulus e  gpa   poissons ratio are shown in the table.,contradiction
we found an increase of 25% in sheer bulk modulus of ni.,contradiction
na2si2o5 has pressure of 25 gpa.,contradiction
fitting to the equation developed earlier  bulk modulus  b0 = 80 gpa  was yielded as the final calculation.,contradiction
the pressure dependence of the equilibrium lattice constant  bulk modulus  mode grüneisen parameters  and phonon structures has been presented.,contradiction
the bulk modulus of srn2 in gpa is larger than that of sr n3 2.,contradiction
the structural behavior of α-uranium at room temperature has been studied up to 100 gpa in diamond anvil cells using angle-dispersive x-ray diffraction at a synchrotron source.,contradiction
zha et al. claimed to establish a primary pressure scale up to ~55 gpa by conducting measurements of elasticity of mgo single crystal and volume of mgo polycrystalline separately they applied brillouin light scattering  bls  for elasticity  and synchrotron x-ray measurement for lattice parameters.,contradiction
liquid h2o and nh3 were calculated having pressure of 30 and 230 gpa using equation.,contradiction
the velocities of mgsio 3 -orthopyroxene increase more rapidly with pressure than those for mg 2 sio 4 -olivine  especially for p-waves   such that these two mineral phases are virtually indistinguishable in their velocities at 200 km depth  unless the velocity-temperature dependence of the two phases is dramatically different.,contradiction
in this paper  we found k7si6o4 has a pressure of 68 gpa.,contradiction
for a complex anisotropic solid such as wood or paper  these three bulk moduli do not contain enough information to describe its behaviour  and one must use the full generalized hookes law.,contradiction
elasticity of mgo and a primary pressure scale to 55 gpa.,contradiction
in a fluid  the bulk modulus k and the density ï determine the speed of sound c  pressure waves   according to the newton-laplace formula.,contradiction
solid oxygen has been carried out up to 116 gpa at room temperature.,contradiction
additionally  the band-gaps for pure inn and gan have been calculated with the wien2k code  for comparison purposes.,contradiction
on applying pressure to zifâ€8  0.18 gpa   solvent can be squeezed into the porous cavities.,contradiction
some results have been obtained which  to authors knowledge  have not yet been reported in the literature  like composition dependent elastic constants in zb structures or composition dependent pressure derivatives of elastic constants.,contradiction
pressure of ceo2 and pro2 are measured as 12 gpa and 58 gpa.,contradiction
the new superhard phase  sp-swnt  composed of single-wall carbon nanotubes has been studied which exhibits a bulk modulus exceeding or comparable with diamond and hardness belongs to the range between cubic bn and diamond. ,contradiction
findings reported bulk modulus value under high pressure and low temperature.,contradiction
after analyzing data  bulk modulus b  gpa   shear modulus g  gpa   youngs modulus e  gpa  was found for mno2.,contradiction
the reciprocal of the bulk modulus at fixed temperature is called the isothermal compressibility.,contradiction
design of new β type titanium alloys composed of non-toxic elements like nb  ta  zr  mo or sn with lower moduli of elasticity and greater strength were  therefore  studied based on the d-electron alloy design method  and the basic mechanical properties of designed alloys of button ingots melted by tri-arc furnace in the laboratory were investigated in this study.,contradiction
